char,unicode,missing_cho,missing_jung,missing_jong,missing_total,in_ref78,ink_ratio,bbox_fill,edge_density,n_components,psnr,ssim
쑛,U+C45B,0,0,0,0,0,0.15948486328125,0.7578125,0.13232421875,5,nan,nan
쑜,U+C45C,0,0,0,0,0,0.16748046875,0.68988037109375,0.15032958984375,5,nan,nan
쑝,U+C45D,0,0,0,0,0,0.1353759765625,0.671875,0.11865234375,3,nan,nan
쑞,U+C45E,0,0,1,1,0,0.1669921875,0.7265625,0.1507568359375,5,nan,nan
쑟,U+C45F,0,0,0,0,0,0.17266845703125,0.75,0.17816162109375,8,nan,nan
쑠,U+C460,0,0,1,1,0,0.165283203125,0.7265625,0.15472412109375,7,nan,nan
쑡,U+C461,0,0,1,1,0,0.174560546875,0.78125,0.17340087890625,5,nan,nan
쑢,U+C462,0,0,0,0,0,0.19171142578125,0.828125,0.16900634765625,6,nan,nan
쑣,U+C463,0,0,0,0,0,0.197021484375,0.8203125,0.16796875,4,nan,nan
쑤,U+C464,0,0,0,0,0,0.11199951171875,0.6749267578125,0.09893798828125,2,nan,nan
쑥,U+C465,0,0,0,0,0,0.14447021484375,0.7286376953125,0.129638671875,3,nan,nan
쑦,U+C466,0,0,1,1,0,0.15185546875,0.775146484375,0.14337158203125,4,nan,nan
쑧,U+C467,0,0,0,0,0,0.15899658203125,0.74169921875,0.142822265625,4,nan,nan
쑨,U+C468,0,0,0,0,0,0.13726806640625,0.7237548828125,0.12274169921875,3,nan,nan
쑩,U+C469,0,0,1,1,0,0.16375732421875,0.7421875,0.1485595703125,3,nan,nan
쑪,U+C46A,0,0,1,1,0,0.1490478515625,0.76904296875,0.15228271484375,5,nan,nan
쑫,U+C46B,0,0,1,1,0,0.15289306640625,0.72088623046875,0.140380859375,3,nan,nan
쑬,U+C46C,0,0,0,0,0,0.1798095703125,0.7578125,0.16229248046875,4,nan,nan
쑭,U+C46D,0,0,0,0,0,0.18634033203125,0.8046875,0.176513671875,3,nan,nan
쑮,U+C46E,0,0,0,0,0,0.188232421875,0.796875,0.187744140625,4,nan,nan
쑯,U+C46F,0,0,0,0,0,0.18548583984375,0.78125,0.1865234375,3,nan,nan
쑰,U+C470,0,0,0,0,0,0.184326171875,0.8125,0.17333984375,4,nan,nan
쑱,U+C471,0,0,0,0,0,0.19061279296875,0.828125,0.1849365234375,2,nan,nan
쑲,U+C472,0,0,1,1,0,0.17437744140625,0.890625,0.18914794921875,6,nan,nan
쑳,U+C473,0,0,0,0,0,0.19110107421875,0.8046875,0.1898193359375,3,nan,nan
